DATE,TRANSACTION ID,DESCRIPTION,QUANTITY,SYMBOL,PRICE,COMMISSION,AMOUNT,REG FEE,SHORT-TERM RDM FEE,FUND REDEMPTION FEE, DEFERRED SALES CHARGE
01/20/2023,47663468842,Bought 3 TSLA @ 133.1162,3,TSLA,133.1162,0.00,-399.35,,,,
01/20/2023,47663638139,Bought 4 SQ @ 76.1832,4,SQ,76.1832,0.00,-304.73,,,,
01/20/2023,47663701501,Bought 3 MSFT @ 239.995,3,MSFT,239.995,0.00,-719.99,,,,
01/30/2023,47814541327,Bought 4 TSLA @ 169.4399,4,TSLA,169.4399,0.00,-677.76,,,,
01/31/2023,47846428188,CLIENT REQUESTED ELECTRONIC FUNDING RECEIPT (FUNDS NOW),,,,,5000.00,,,,
01/31/2023,47846532414,Bought 4 COIN @ 59.38,4,COIN,59.38,0.00,-237.52,,,,
02/16/2023,48231761189,Bought 10 GOOG @ 97.2464,10,GOOG,97.2464,0.00,-972.46,,,,
02/16/2023,48231803320,Bought 5 NVDA @ 224.85,5,NVDA,224.85,0.00,-1124.25,,,,
02/16/2023,48231864155,Bought 3 MSFT @ 265.2154,3,MSFT,265.2154,0.00,-795.65,,,,
02/17/2023,48261516716,Bought 10 AAPL @ 152.1,10,AAPL,152.10,0.00,-1521.00,,,,
02/22/2023,48301066797,OFF-CYCLE INTEREST (MMDA1),,MMDA1,,,0.83,,,,
02/23/2023,48338401878,CLIENT REQUESTED ELECTRONIC FUNDING RECEIPT (FUNDS NOW),,,,,5000.00,,,,
02/23/2023,48338415190,Bought 5 TSLA @ 197.855,5,TSLA,197.855,0.00,-989.28,,,,
02/28/2023,48443849336,MARGIN INTEREST ADJUSTMENT,,,,,-0.10,,,,
03/03/2023,48530009336,Bought 1 GOOG @ 93.605,1,GOOG,93.605,0.00,-93.61,,,,
03/07/2023,48597202183,CLIENT REQUESTED ELECTRONIC FUNDING RECEIPT (FUNDS NOW),,,,,5000.00,,,,
03/09/2023,48624631583,QUALIFIED DIVIDEND (MSFT),,MSFT,,,2.04,,,,
03/21/2023,48865059274,CLIENT REQUESTED ELECTRONIC FUNDING DISBURSEMENT (FUNDS NOW),,,,,-5000.00,,,,
03/28/2023,49020645982,ORDINARY DIVIDEND (VTI),,VTI,,,1.57,,,,
03/29/2023,49030581586,QUALIFIED DIVIDEND (NVDA),,NVDA,,,0.20,,,,
04/13/2023,49426005802,Bought 2 MSFT @ 283.49,2,MSFT,283.49,0.00,-566.98,,,,
05/18/2023,50104415617,QUALIFIED DIVIDEND (AAPL),,AAPL,,,2.40,,,,
05/24/2023,50223717134,Bought 2 NVDA @ 299.91,2,NVDA,299.91,0.00,-599.82,,,,
06/08/2023,50611964647,QUALIFIED DIVIDEND (MSFT),,MSFT,,,5.44,,,,
06/12/2023,50690058482,CLIENT REQUESTED ELECTRONIC FUNDING RECEIPT (FUNDS NOW),,,,,5000.00,,,,
06/22/2023,50880515202,CLIENT REQUESTED ELECTRONIC FUNDING RECEIPT (FUNDS NOW),,,,,8000.00,,,,
06/23/2023,50907414482,Bought 2 TSLA @ 259.16,2,TSLA,259.16,0.00,-518.32,,,,
06/23/2023,50916647326,Bought 2 TSLA @ 257.145,2,TSLA,257.145,0.00,-514.29,,,,
06/23/2023,50916667853,Bought 2 MSFT @ 335.6457,2,MSFT,335.6457,0.00,-671.29,,,,
06/23/2023,50916678203,Bought 4 GOOG @ 122.8199,4,GOOG,122.8199,0.00,-491.28,,,,
06/23/2023,50916825795,Bought 3 AAPL @ 186.7375,3,AAPL,186.7375,0.00,-560.21,,,,
06/23/2023,50918501976,Bought 5000 SNOXX @ 1,5000,SNOXX,1.00,,-5000.00,,,,
06/26/2023,50929653657,INTRA-ACCOUNT TRANSFER,,,,,5000.00,,,,
06/26/2023,50929653656,INTRA-ACCOUNT TRANSFER,,,,,-5000.00,,,,
06/26/2023,50939946008,Bought 4 GOOG @ 121.7299,4,GOOG,121.7299,0.00,-486.92,,,,
06/28/2023,50974752167,ORDINARY DIVIDEND (VTI),,VTI,,,1.65,,,,
06/28/2023,51000501342,Bought 5 AMZN @ 128.9699,5,AMZN,128.9699,0.00,-644.85,,,,
06/30/2023,51039948299,QUALIFIED DIVIDEND (NVDA),,NVDA,,,0.28,,,,
07/10/2023,51235007452,Bought 3 AMZN @ 126.96,3,AMZN,126.96,0.00,-380.88,,,,
