"trade_id","symbol","action","quantity","cost_basis","date","description","created_at","modified_at","custodian"
1,"SIRI","BUY",1,0,"2020-06-19 13:30:00+00",,"2022-11-24 12:40:21.323924+00","2022-11-24 12:40:21.323924+00","ROBINHOOD"
2,"AMAG","BUY",1,8.09,"2020-06-23 13:30:00+00",,"2022-11-24 12:40:21.373687+00","2022-11-24 12:40:21.373687+00","ROBINHOOD"
3,"SONO","BUY",1,14.24,"2020-06-23 13:30:00+00",,"2022-11-24 12:40:21.379521+00","2022-11-24 12:40:21.379521+00","ROBINHOOD"
4,"GPS","BUY",1,11.63,"2020-06-23 13:30:00+00",,"2022-11-24 12:40:21.384392+00","2022-11-24 12:40:21.384392+00","ROBINHOOD"
5,"SNAP","BUY",2,23.78,"2020-06-23 18:45:00+00",,"2022-11-24 12:40:21.389331+00","2022-11-24 12:40:21.389331+00","ROBINHOOD"
6,"MSFT","BUY",1,201.9,"2020-06-24 13:30:00+00",,"2022-11-24 12:40:21.392916+00","2022-11-24 12:40:21.392916+00","ROBINHOOD"
7,"TWTR","BUY",5,32.67,"2020-06-24 13:31:00+00",,"2022-11-24 12:40:21.396186+00","2022-11-24 12:40:21.396186+00","ROBINHOOD"
8,"AAPL","BUY",1,360,"2020-06-24 15:40:00+00",,"2022-11-24 12:40:21.399366+00","2022-11-24 12:40:21.399366+00","ROBINHOOD"
9,"SIRI","SELL",1,5.81,"2020-06-25 19:27:00+00",,"2022-11-24 12:40:21.409261+00","2022-11-24 12:40:21.409261+00","ROBINHOOD"
10,"TWTR","SELL",5,31.1,"2020-06-26 13:30:00+00",,"2022-11-24 12:40:21.429581+00","2022-11-24 12:40:21.429581+00","ROBINHOOD"
11,"GPS","BUY",5,13.22,"2020-06-26 13:39:00+00",,"2022-11-24 12:40:21.436047+00","2022-11-24 12:40:21.436047+00","ROBINHOOD"
12,"GPS","SELL",6,12.98,"2020-06-26 15:10:00+00",,"2022-11-24 12:40:21.441649+00","2022-11-24 12:40:21.44165+00","ROBINHOOD"
13,"SPOT","BUY",1,264.53,"2020-06-30 13:06:00+00",,"2022-11-24 12:40:21.450752+00","2022-11-24 12:40:21.450752+00","ROBINHOOD"
14,"SPOT","BUY",0.1,257.9,"2020-06-30 21:50:00+00",,"2022-11-24 12:40:21.455778+00","2022-11-24 12:40:21.455778+00","ROBINHOOD"
15,"TSLA","BUY",0.027884,1075.89,"2020-06-30 21:52:00+00",,"2022-11-24 12:40:21.46043+00","2022-11-24 12:40:21.460431+00","ROBINHOOD"
16,"AMZN","BUY",0.01088,2757.35,"2020-06-30 21:53:00+00",,"2022-11-24 12:40:21.465097+00","2022-11-24 12:40:21.465097+00","ROBINHOOD"
17,"BTC","BUY",0.00109181,9159.12,"2020-07-01 11:04:00+00",,"2022-11-24 12:40:21.470989+00","2022-11-24 12:40:21.470989+00","ROBINHOOD"
18,"GOOG","BUY",0.070812,1412.19,"2020-07-01 13:31:00+00",,"2022-11-24 12:40:21.476625+00","2022-11-24 12:40:21.476625+00","ROBINHOOD"
19,"META","BUY",0.219127,228.18,"2020-07-01 13:31:00+00",,"2022-11-24 12:40:21.481273+00","2022-11-24 12:40:21.481273+00","ROBINHOOD"
20,"AMAG","SELL",1,8.38,"2020-07-02 13:30:00+00",,"2022-11-24 12:40:21.48883+00","2022-11-24 12:40:21.48883+00","ROBINHOOD"
21,"SONO","SELL",1,15,"2020-07-02 13:30:00+00",,"2022-11-24 12:40:21.498444+00","2022-11-24 12:40:21.498444+00","ROBINHOOD"
